source	destination	time	source_name	destination_name	source_longitude	source_latitude	destination_longitude	destination_latitude	destination_latitude_center	destination_longitude_center	time_scaled	angle	LineText	stop_seq_count_U1	stop_seq_count_U2	stop_seq_count_U3	stop_seq_count_U4	stop_seq_count_U6
60200014	60200027	36.0	Alaudagasse	Alser Straße	16.382337449999998	48.153693	16.341828049999997	48.21681995	30.298180190302425	-19.442743560412605	0.6428571428571429	0.5705276587560808	U6					15.0
60200031	60200027	32.0	Alte Donau	Alser Straße	16.42461245	48.23818995	16.341828049999997	48.21681995	-7.998301646551384	-30.984305232984866	0.5714285714285714	1.3181708853868142	U6					15.0
60200033	60200027	34.0	Altes Landgut	Alser Straße	16.383595550000003	48.161794	16.341828049999997	48.21681995	27.0818914364111	-20.556535608570893	0.6071428571428571	0.6492686003272837	U6					15.0
60200048	60200027	15.0	Schöpfwerk	Alser Straße	16.3244684	48.161044950000004	16.341828049999997	48.21681995	14.322310505585921	4.457737293917525	0.26785714285714285	0.3017404632344934	U6					15.0
60200056	60200027	14.0	Neubaugasse	Alser Straße	16.352495349999998	48.19920705	16.341828049999997	48.21681995	11.974934364083667	-7.25265103089126	0.25	0.5445655157061506	U6					15.0
60200161	60200027	16.0	Braunschweiggasse	Alser Straße	16.295834399999997	48.1893919	16.341828049999997	48.21681995	8.19496332892055	13.742000437987455	0.2857142857142857	1.033069193239858	U6					15.0
60200188	60200027	4.0	Burggasse - Stadthalle	Alser Straße	16.337210900000002	48.2032869	16.341828049999997	48.21681995	3.785732199477876	1.2916004466693272	0.07142857142857142	0.3287921464209546	U6					15.0
60200234	60200027	29.0	Donauinsel	Alser Straße	16.41133555	48.22921705	16.341828049999997	48.21681995	-5.091976188572317	-28.549461965070595	0.5178571428571429	1.3942959663588357	U6					15.0
60200245	60200027	19.0	Stubentor	Alser Straße	16.37926535	48.20693055	16.341828049999997	48.21681995	4.852569802977692	-18.369882043911687	0.3392857142857143	1.3125365691599409	U6					15.0
60200282	60200027	33.0	Donaumarina	Alser Straße	16.43126455	48.206269	16.341828049999997	48.21681995	3.866245725965956	-32.77273476514357	0.5892857142857143	1.4533676712210895	U6					15.0
60200285	60200027	20.0	Erlaaer Straße	Alser Straße	16.31654555	48.14229285	16.341828049999997	48.21681995	18.939843101011004	6.425133719159925	0.35714285714285715	0.32705621801737467	U6					15.0
60200289	60200027	25.0	Erdberg	Alser Straße	16.41418745	48.1914015	16.341828049999997	48.21681995	8.285663418799677	-23.58702570716293	0.44642857142857145	1.2329811593435684	U6					15.0
60200290	60200027	34.0	Donaustadtbrücke	Alser Straße	16.43995555	48.2116809	16.341828049999997	48.21681995	1.778182218915356	-33.95346915995968	0.6071428571428571	1.5184729784782365	U6					15.0
60200299	60200027	40.0	Aspernstraße	Alser Straße	16.47486455	48.22260095	16.341828049999997	48.21681995	-1.7365308529040204	-39.962287980005755	0.7142857142857143	1.5273694069737318	U6					15.0
60200334	60200027	14.0	Floridsdorf	Alser Straße	16.40046095	48.25620495	16.341828049999997	48.21681995	-7.8064277212065525	-11.621518241330513	0.25	0.9793021422775213	U6					15.0
60200357	60200027	13.0	Friedensbrücke	Alser Straße	16.36432205	48.22754784999999	16.341828049999997	48.21681995	-5.596139554384052	-11.733849414742728	0.23214285714285715	1.125780380641666	U6					15.0
60200399	60200027	28.0	Zippererstraße	Alser Straße	16.41191055	48.180268	16.341828049999997	48.21681995	12.948274856640069	-24.826239711984226	0.5	1.090052985633758	U6					15.0
60200425	60200027	29.0	Enkplatz	Alser Straße	16.4147488	48.174709	16.341828049999997	48.21681995	14.502617813187038	-25.113225132679197	0.5178571428571429	1.0470933139116814	U6					15.0
60200436	60200027	7.0	Gumpendorfer Straße	Alser Straße	16.337565350000002	48.19083	16.341828049999997	48.21681995	6.907706547831509	1.1329564197468895	0.125	0.1625660127347646	U6					15.0
60200473	60200027	37.0	Hardeggasse	Alser Straße	16.457185350000003	48.2210065	16.341828049999997	48.21681995	-1.3419214810010325	-36.9756574889322	0.6607142857142857	1.534520222892186	U6					15.0
60200487	60200027	42.0	Hausfeldstraße	Alser Straße	16.485679400000002	48.23345995	16.341828049999997	48.21681995	-4.826167119196705	-41.721794196050396	0.75	1.4556331952084587	U6					15.0
60200491	60200027	15.0	Heiligenstadt	Alser Straße	16.3658084	48.24850995	16.341828049999997	48.21681995	-11.96132673693527	-9.051334856930078	0.26785714285714285	0.6477859114632958	U6					15.0
60200500	60200027	10.0	Dresdner Straße	Alser Straße	16.3800655	48.237232500000005	16.341828049999997	48.21681995	-4.709338420696312	-8.82168530607126	0.17857142857142858	1.0804472719318874	U6					15.0
60200506	60200027	17.0	Herrengasse	Alser Straße	16.36511745	48.20933095	16.341828049999997	48.21681995	5.204121999133597	-16.183853503357405	0.30357142857142855	1.259676573653778	U6					15.0
60200520	60200027	15.0	Hietzing	Alser Straße	16.3048134	48.18754495	16.341828049999997	48.21681995	9.305020509419704	11.765058151971825	0.26785714285714285	0.9016269650434762	U6					15.0
60200560	60200027	21.0	Hütteldorf	Alser Straße	16.260750350000002	48.1970034	16.341828049999997	48.21681995	4.985934806399592	20.399520928353517	0.375	1.331081654652697	U6					15.0
60200606	60200027	14.0	Johnstraße	Alser Straße	16.32006205	48.19764705	16.341828049999997	48.21681995	9.253908671370077	10.505483058952677	0.25	0.8486543926318413	U6					15.0
60200615	60200027	2.0	Josefstädter Straße	Alser Straße	16.339195949999997	48.211690000000004	16.341828049999997	48.21681995	1.7794438443693894	0.91300580761345	0.03571428571428571	0.474060667304002	U6					15.0
60200627	60200027	33.0	Kagran	Alser Straße	16.43317805	48.243263049999996	16.341828049999997	48.21681995	-9.175813733333483	-31.698650481229777	0.5892857142857143	1.2890277023274082	U6					15.0
60200633	60200027	35.0	Kagraner Platz	Alser Straße	16.44340555	48.250411899999996	16.341828049999997	48.21681995	-10.989265244237517	-33.23004738774522	0.625	1.2514152390441518	U6					15.0
60200641	60200027	30.0	Kaisermühlen, V.I.C.	Alser Straße	16.41628995	48.2327719	16.341828049999997	48.21681995	-6.284301457318071	-29.334409065013567	0.5357142857142857	1.3597565557086815	U6					15.0
60200653	60200027	23.0	Kardinal-Nagl-Platz	Alser Straße	16.4005419	48.19717705	16.341828049999997	48.21681995	7.297178751099158	-21.811721213020004	0.4107142857142857	1.2479483925309813	U6					15.0
60200657	60200027	26.0	Karlsplatz	Alser Straße	16.369268666666667	48.20086866666667	16.341828049999997	48.21681995	13.066562410116466	-22.478099269789947	0.4642857142857143	1.0442388794799995	U6					15.0
60200666	60200027	31.0	Keplerplatz	Alser Straße	16.37604855	48.17955760000001	16.341828049999997	48.21681995	22.832434328672115	-20.96854650725403	0.5535714285714286	0.7428702573926271	U6					15.0
60200670	60200027	17.0	Kettenbrückengasse	Alser Straße	16.35808785	48.19663495	16.341828049999997	48.21681995	13.238925040588041	-10.664467345802645	0.30357142857142855	0.6781091257603487	U6					15.0
60200743	60200027	20.0	Landstraße	Alser Straße	16.385223425	48.2063514	16.341828049999997	48.21681995	4.6901876130980344	-19.442277133966115	0.35714285714285715	1.3340824827435909	U6					15.0
60200769	60200027	41.0	Leopoldau	Alser Straße	16.45179535	48.27752845	16.341828049999997	48.21681995	-19.8154005113239	-35.89359138587032	0.7321428571428571	1.0663732498607905	U6					15.0
60200820	60200027	9.0	Längenfeldgasse	Alser Straße	16.334985225	48.184854175	16.341828049999997	48.21681995	8.80061546828212	1.8839234006279264	0.16071428571428573	0.21088443430244133	U6					15.0
60200827	60200027	15.0	Margaretengürtel	Alser Straße	16.3430588	48.18848495	16.341828049999997	48.21681995	14.985870053252055	-0.6509214599651807	0.26785714285714285	0.04340839503851663	U6					15.0
60200863	60200027	12.0	Meidling Hauptstraße	Alser Straße	16.32785	48.183654950000005	16.341828049999997	48.21681995	11.057973480994136	4.660603232804785	0.21428571428571427	0.3988768450970677	U6					15.0
60200874	60200027	1.0	Michelbeuern - AKH	Alser Straße	16.344316900000003	48.2213	16.341828049999997	48.21681995	-0.8741627984261375	-0.4856329908972249	0.017857142857142856	0.5070871331548252	U6					15.0
60200910	60200027	44.0	Aspern Nord	Alser Straße	16.5047334	48.23458495	16.341828049999997	48.21681995	-4.769967625900785	-43.740683680617735	0.7857142857142857	1.4621744982105889	U6					15.0
60200916	60200027	25.0	Nestroyplatz	Alser Straße	16.38549955	48.21528995	16.341828049999997	48.21681995	0.8753202325015497	-24.98467159060878	0.44642857142857145	1.535776359863697	U6					15.0
60200937	60200027	10.0	Niederhofstraße	Alser Straße	16.3311559	48.1808161	16.341828049999997	48.21681995	9.587666080439673	2.841946362967916	0.17857142857142858	0.28816632373098844	U6					15.0
60200942	60200027	46.0	Seestadt	Alser Straße	16.5084165	48.2261086	16.341828049999997	48.21681995	-2.5608933231935627	-45.92866017409198	0.8214285714285714	1.515095935223805	U6					15.0
